episode_idx,seed,total_reward,steps,landed,crashed,truncated,out_of_bounds,impact_speed,lateral_dist,final_h_agl,mean_abs_alt_error,mean_speed,mean_ang_speed,mean_lateral,max_abs_roll_deg,max_abs_pitch_deg,max_abs_omega_xy
0,0,585.4892661869399,600,True,False,True,False,nan,0.0,5.0,0.09528541008631389,0.135695807475131,1.1679615270055888,0.015218719243251837,0.4719566771803093,0.2664541709710034,0.05711815073857522
1,1,585.4892661869399,600,True,False,True,False,nan,0.0,5.0,0.09528541008631389,0.135695807475131,1.1679615270055888,0.015218719243251837,0.4719566771803093,0.2664541709710034,0.05711815073857522
2,2,585.4892661869399,600,True,False,True,False,nan,0.0,5.0,0.09528541008631389,0.135695807475131,1.1679615270055888,0.015218719243251837,0.4719566771803093,0.2664541709710034,0.05711815073857522
3,3,585.4892661869399,600,True,False,True,False,nan,0.0,5.0,0.09528541008631389,0.135695807475131,1.1679615270055888,0.015218719243251837,0.4719566771803093,0.2664541709710034,0.05711815073857522
4,4,585.4892661869399,600,True,False,True,False,nan,0.0,5.0,0.09528541008631389,0.135695807475131,1.1679615270055888,0.015218719243251837,0.4719566771803093,0.2664541709710034,0.05711815073857522
5,5,585.4892661869399,600,True,False,True,False,nan,0.0,5.0,0.09528541008631389,0.135695807475131,1.1679615270055888,0.015218719243251837,0.4719566771803093,0.2664541709710034,0.05711815073857522
6,6,585.4892661869399,600,True,False,True,False,nan,0.0,5.0,0.09528541008631389,0.135695807475131,1.1679615270055888,0.015218719243251837,0.4719566771803093,0.2664541709710034,0.05711815073857522
7,7,585.4892661869399,600,True,False,True,False,nan,0.0,5.0,0.09528541008631389,0.135695807475131,1.1679615270055888,0.015218719243251837,0.4719566771803093,0.2664541709710034,0.05711815073857522
8,8,585.4892661869399,600,True,False,True,False,nan,0.0,5.0,0.09528541008631389,0.135695807475131,1.1679615270055888,0.015218719243251837,0.4719566771803093,0.2664541709710034,0.05711815073857522
9,9,585.4892661869399,600,True,False,True,False,nan,0.0,5.0,0.09528541008631389,0.135695807475131,1.1679615270055888,0.015218719243251837,0.4719566771803093,0.2664541709710034,0.05711815073857522
