episode_idx,seed,total_reward,steps,landed,crashed,truncated,out_of_bounds,impact_speed,lateral_dist,final_h_agl,mean_abs_alt_error,mean_speed,mean_ang_speed,mean_lateral,max_abs_roll_deg,max_abs_pitch_deg,max_abs_omega_xy
0,0,-1581.9678159133857,133,False,False,False,False,0.0,0.0,5.0,0.9706422012103232,5.614502619643857,16.64654789714882,19.280280852277944,56.26529317260559,59.043363646167805,12.84417831254102
1,1,-1341.2135226501955,133,False,False,False,False,0.0,0.0,5.0,1.0089924846376692,5.505965609299509,15.105926583739087,14.159512899772999,72.12551802227529,76.27069490218885,13.449649787661905
2,2,-1830.2451933478198,134,False,False,False,False,0.0,0.0,5.0,0.9625149736208702,5.662661073145582,17.654354620870535,24.476984145056313,49.29000482843594,60.048958136208874,12.419354384385242
3,3,-1379.1349676061636,134,False,False,False,False,0.0,0.0,5.0,0.9945730758247091,5.54410999418417,15.786834434654745,14.444323635945997,59.622462317006644,58.17100166907573,12.264895919029874
4,4,-1618.9774104548628,134,False,False,False,False,0.0,0.0,5.0,0.9604199341873625,5.641235330711995,17.14868023082442,19.596634392795732,49.39005745006848,59.99657084562403,12.01145319158609
5,5,-1863.3769465352177,135,False,False,False,False,0.0,0.0,5.0,0.9588066182754658,5.685312250863623,17.8357566892281,24.822978515499273,45.868405220226826,61.0339430597147,11.615878347491929
6,6,-1178.95627040527,137,False,False,False,False,0.0,0.0,5.0,0.9600106867125434,5.609156042609337,18.50139809759642,7.139245507345127,48.51479424123599,70.60839244670849,11.882459124963683
7,7,-1383.153348545725,137,False,False,False,False,0.0,0.0,5.0,0.9497006141791379,5.582736683859878,18.6375680561061,12.120464959699461,47.01655163188718,68.48078140822537,11.707829280582002
8,8,-1489.0332831461185,137,False,False,False,False,0.0,0.0,5.0,0.9616874345462688,5.565847688184602,18.067385457343402,15.020254422971638,52.02477394196062,73.79064855153504,12.062444160382341
9,9,-1701.471992406354,137,False,False,False,False,0.0,0.0,5.0,0.9588736404467674,5.576222034320779,18.312939397939537,20.03010990798895,50.15169056370862,71.83921271977592,11.927499745292565
10,10,-1911.4199760419178,137,False,False,False,False,0.0,0.0,5.0,0.9523535629693609,5.569253876098316,18.44002803950601,25.1062850122845,48.80153556374178,70.27115163368452,11.817344335281375
11,11,-1815.1064439519573,137,False,False,False,False,0.0,0.0,5.0,0.9596314778293136,5.547128787495359,17.9559350157394,23.067097082966658,52.89959526397054,74.40960607030726,12.09287073620131
12,12,-1185.4834411765607,138,False,False,False,False,0.0,0.0,5.0,0.9558274858239768,5.494070541599522,18.68664239140015,7.1472183819336434,48.04184152357558,68.77311965392792,11.800531208860518
13,13,-1282.428818259291,138,False,False,False,False,0.0,0.0,5.0,0.9662586200064507,5.505076981595029,17.506277358223496,10.192628932919622,56.418137450343394,77.42366615688948,12.208192219350169
14,14,-1617.7337299529374,138,False,False,False,False,0.0,0.0,5.0,0.9692924705104552,5.630068002673595,18.84031689455141,17.213950538343248,46.32221622442476,67.44663795383228,11.627515081964507
15,15,-1826.6372108617525,138,False,False,False,False,0.0,0.0,5.0,0.9620209506888321,5.605412156847508,18.842993047066944,22.33934221006439,45.98399274067653,66.7788241814343,11.568589790668227
16,16,-1619.8044901552976,138,False,False,False,False,0.0,0.0,5.0,0.9724228641261226,5.5326778958349125,17.644802038763977,18.171212023827252,55.74622977337035,76.60099816725169,12.180041580692146
17,17,-2038.8062190781407,138,False,False,False,False,0.0,0.0,5.0,0.959892026324203,5.5987452869505985,18.85034483234446,27.482748580921466,45.880359024086545,66.56952744910558,11.551852883174869
18,18,-1843.2405402737218,139,False,False,False,False,0.0,0.0,5.0,0.9732679486703529,5.45201955306873,18.08583331479351,23.055148096997254,53.4634766887745,72.52846611683951,12.008276742849471
19,19,-1948.8235999257386,139,False,False,False,False,0.0,0.0,5.0,0.9748726369236871,5.509480244607377,18.69599031669122,25.092414840077712,49.213112662214186,68.84945760837638,11.773810784805583
20,20,-2054.844996559785,139,False,False,False,False,0.0,0.0,5.0,0.9580156254253799,5.501420366035091,19.127939488156244,27.469463446089012,45.15542902841109,64.78132358780626,11.476576208493686
